S.No,Song Name,Artist,mood,Movie,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link,Youtube link
1,Samajavaragamana,Sid Sriram,love,Ala Vaikuntapuramlo,https://youtu.be/tflQ33g6I8I?si=ofBAPYve-PBURrNK,,,,,,,
2,Butta Bomma,Armaan Malik,love,Ala Vaikuntapuramlo,https://youtu.be/YO7rue3nKX0?si=XaeHim13CNuQkQMk,,,,,,,
3,Chirugaali ,Sreekanth hariharan,motivational,Jai Bhim,https://youtu.be/sYQZ52iPC7E?si=cc-UMQMQ8t58BbFz,,,,,,,
4,Neetho Cheppana,"S.p balasubramanyam,k.s chitra",love,Aathadu,https://youtu.be/EmPXDiPdaZY?si=EsDAbbSRFldyH7HN,,,,,,,
5,Inkem Inkem Inkem Kaavaale,Sid Sriram,Romantic,Geetha Govindam,https://youtu.be/LPeZOE8ZIHI?si=lQOLDwDgQbMjjk2w,,,,,,,
6,Oke Oka Lokam,Sid Sriram,Love,Sashi,https://youtu.be/hP93gA8F6sM?si=GNW2KVI_8y1b9kn4,,,,,,,
7,Naatu Naatu,Rahul Sipligunj & Kaala Bhairava,Energetic,RRR,https://youtu.be/4_eEgJhsBMo?si=4TJMDepEmtJM3OB9,,,,,,,
8,Dandalayya,Kaala Bhairava,Emotional,Baahubali 2,https://youtu.be/ufiWBv9h8dU?si=3M27-NS1rKcPKSeV,,,,,,,
9,Mind Block,"Blaaze, Ranina Reddy",Energetic,Sarileru Neekevvaru,https://youtu.be/J7Qf8bQRPuc?si=lHg1CMbVV4HWJEa-,,,,,,,
10,Ramuloo Ramulaa,"Anurag Kulkarni, Mangli",Party,Ala Vaikuntapuramlo,https://youtu.be/Bg8Yb9zGYyA?si=CDV6VBXXimOStAZH ,,,,,,,
11,Aakasam Nee Haddhu Ra,Sid Sriram,Motivational,Aakaasam Nee Haddhu Ra,https://youtu.be/uM2dBMEwojI?si=uP3evbRfsV50d-gM,,,,,,,
12,Kalavathi,Sid Sriram,Romantic,Sarkaru Vaari Paata,https://youtu.be/lcfcTbEppQM?si=f6deQBUscpkVZf8d,,,,,,,
13,Arere Manasa,Sid Sriram,Romantic,Falaknuma Das,https://youtu.be/Qf4MumY9fXk?si=dwjcbcN1djys60KP,,,,,,,
14,Chitti,Ram Miriyala,Love,Jathi Ratnalu,https://youtu.be/uvCbZxYdLuU?si=5FU-HxO-D3eBK_1h,,,,,,,
15,Life of Ram,Pradeep Kumar,soothing,Jaanu,https://youtu.be/2a34XyiZO14?si=JxxBKQgb4pf6gZ2j,,,,,,,
16,Ranu Bombay ki Ranu,Ramu Rathod,Energetic,Folk Album,https://youtu.be/2voCBpYfFI4?si=qQ0Qt0RT0zk_7t8O ,,,,,,,
17,Oo Antava,Indravathi Chauhan,party,Pushpa,https://youtu.be/u_wB6byrl5k?si=L809B5pcWmJafHwb,,,,,,,
18,Halamithi Habibo Telugu,"Anirudh, Jonita Gandhi",Energetic,Beast,https://youtu.be/vOYJmUE_U24?si=t5aDjAjZUnekuGJV,,,,,,,
19,Jagadanandakaraka,MM Keeravani,Devotional,Srirama Rajyam,https://youtu.be/H_hXTzigXDA,,,,,,,
20,Ra Ra Reddy,Hesham Abdul Wahab,energetic,Macherla Niyojakavargam,https://youtu.be/by4USgMmICE,,,,,,,
21,Vachindamma,Sid Sriram,Romantic,Geetha Govindam,https://youtu.be/I8t0VJjEffk,,,,,,,
22,Nuvvunte Naa Jathaga,Armaan Malik,Sad,I,https://youtu.be/Zc7SeDL-0uE,,,,,,,
23,Undiporaadhey,Sid Sriram,love,Hushaaru,https://youtu.be/jlmyZ_x5vjc,,,,,,,
24,Choosi Choodangaane,Anurag Kulkarni,love,Chalo,https://youtu.be/EOjM6oy4Q_Q,,,,,,,
25,Intha Andham,Vishal ,Soothing,Sita Ramam,https://youtu.be/dOKQeqGNJwY,,,,,,,
26,Srivalli,Sid Sriram,Love,Pushpa,https://youtu.be/hcMzwMrr1tE,,,,,,,
27,Chinni Gundelo,Anirudh Ravichandhran,love,Andhra King Taluka,https://youtu.be/dsdckc1uEHE,,,,,,,
28,Rowdy Baby Telugu,"Dhanush, Dhee",energetic,Maari 2,https://youtu.be/x6Q7c9RyMzk,,,,,,,
29,Nee Kannu Neeli Samudram,Javed Ali,Romantic,Uppena,https://youtu.be/zZl7vDDN8Ek,,,,,,,
30,Gundellonaa,Anirudh Ravichandran,energetic,Ori Devuda,https://youtu.be/t_aO4EMP-i0,,,,,,,
31,Ee Raathale ,Justin Prabhakaran,romantic,Radhe Shyam,https://youtu.be/b1_5YO11rmM,,,,,,,
32,Emai Poyave,Sid Sriram,Sad,Padi Padi Leche Manasu,https://youtu.be/Eyx0Hvi1_Ng,,,,,,,
33,Arere Aakaasam lo Na,Anurag Kulkarni,happy,Color Photo,https://youtu.be/7AEmCTjqrD4,,,,,,,
34,Maate Vinadhuga,Sid Sriram,Romantic,Taxiwaala,https://youtu.be/d0wsNOzzoN8,,,,,,,
35,Saranga Dariya,Mangli,energetic,Love Story,https://youtu.be/1ozmyl1ZEyY,,,,,,,
36,Pilla Raa,Anurag Kulkarni,Sad,RX100,https://youtu.be/5MtKkdEiJzk,,,,,,,
37,Boss Party,DSP,Party,Waltair Veerayya,https://youtu.be/Er8D49RPLCs,,,,,,,
38,Kurchi Madathapatti,Sahithi Chaganti & Sri Krishna,Energetic,Guntur Kaaram,https://youtu.be/gh3FyLT7WVg,,,,,,,
39,Oh Sita Hey Rama,"Karthik, Shwetha Mohan",soothing,Sita Ramam,https://youtu.be/hYFzyK9ExuM,,,,,,,
40,Ranga Ranga Rangasthalana,Rahul Sipligunj,Energetic,Rangasthalam,https://youtu.be/8Ah68MjWODE,,,,,,,
41,Bullettu Bandi,Mangli,Energetic,Album,https://youtu.be/xQauklmE3Y8,,,,,,,
42,Darshana ,Hesham Abdul Wahab,Romantic,Hridayam,https://youtu.be/epAFDEJImrU,,,,,,,
43,Ninnu Kori,Dr.Arun Gopan,soothing,Ninnu Kori,https://youtu.be/gPDkCAMW4mY,,,,,,,
44,Break Up,Arun Gopan,Sad,Ninnu Kori,https://youtu.be/sEeNHIwopGk,,,,,,,
45,Crazy Feeling,Dsp,Happy,Nenu Sailaja,https://youtu.be/QCTtc36u-Kk,,,,,,,
46,Mehabooba,Ananya Bhat,romantic,KGF 2,https://youtu.be/Zg837tKfA0U,,,,,,,
47,Komuram Bheemudo,Kaala Bhairava,motivational,RRR,https://youtu.be/uBDCl5c-9qM,,,,,,,
48,Spirit Of Jersey,Kaala Bhairava,Motivational,Jersey,https://youtu.be/_xuI60USDjw,,,,,,,
49,Mella Mellaga,Sid Sriram,romantic,ABCD,https://youtu.be/VQTx4eswiFY,,,,,,,
